ProductNo,Product,SKU,Oem,Supplier,ProductType,Price,PriceRetail,Cost,Taxable,Surcharge,SurchargeTitle,Shipping,ShippingExemptInd,SaleExclude,Quantity,Unit,Threshold,Weight,Length,Height,Width,ContainerCode,Brief,Description,Subscription,Thumbnail,Photo,Template,Featured,ExtText1,ExtText2,ExtText3,ExtText4,ExtText5,ExtText6,Active,AuthReq,Isbn,Mpn,Upc,Condition,Media,NaturalSearchKeywords,NaturalSearchDescription,Category,Keywords,Attribute1SharedName,Attribute1Label,Attribute1Values,Attribute1DisplayType,Attribute2SharedName,Attribute2Label,Attribute2Values,Attribute2DisplayType,Attribute3SharedName,Attribute3Label,Attribute3Values,Attribute3DisplayType,Attribute4SharedName,Attribute4Label,Attribute4Values,Attribute4DisplayType,Attribute5SharedName,Attribute5Label,Attribute5Values,Attribute5DisplayType,Attribute6SharedName,Attribute6Label,Attribute6Values,Attribute6DisplayType,Attribute7SharedName,Attribute7Label,Attribute7Values,Attribute7DisplayType,Attribute8SharedName,Attribute8Label,Attribute8Values,Attribute8DisplayType,Attribute9SharedName,Attribute9Label,Attribute9Values,Attribute9DisplayType,Attribute10SharedName,Attribute10Label,Attribute10Values,Attribute10DisplayType
214,Wire Brush,33VWB-06,,,Normal,$9.00,$0.00,$0.00,Yes,$0.00,,$0.00,No,No,18,,0,0.0,0.0,0.0,0.0,self,"Product Description: 6.75"" Wire brush. * Information: Very worthwhile accessory to clean suede soles and prolong use of shoes. Original Very Fine dance product.","Product Description: 6.75"" Wire brush. * Information: Very worthwhile accessory to clean suede soles and prolong use of shoes. Original Very Fine dance product.",No,,,,No,,,,,,,Yes,No,,,,New,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Women's Flamenco Skirts -- Red,16SSFS-04,,,Normal,$64.00,$0.00,$0.00,Yes,$0.00,,$0.00,No,No,2,,0,0.0,0.0,0.0,0.0,self,"PRODUCT DESCRIPTION: Women's Flamenco Skirt. * INFORMATION: Nylon lycra, double ruffle design, and elaticized waistband with drawstring. Shown in red; other colors may be available such as black, mocha, purple, royal blue, rust and white. Please call or e-mail for up-to-date product availability. Skirt is paired with a long sleeve flamenco leotard. Ideal for flamenco or latin dancing. Original Star Styled dance product. Made in U.S.A.","PRODUCT DESCRIPTION: Women's Flamenco Skirt. * INFORMATION: Nylon lycra, double ruffle design, and elaticized waistband with drawstring. Shown in red; other colors may be available such as black, mocha, purple, royal blue, rust and white. Please call or e-mail for up-to-date product availability. Skirt is paired with a long sleeve flamenco leotard. Ideal for flamenco or latin dancing. Original Star Styled dance product. Made in U.S.A. * FITTING GUIDE: Same as clothing size. See sizing chart below: Petite / Small / Medium / Large / X-Large Bust Inches: 30-32 / 32-34 / 34-36 / 36-39 / 41-44 Centimeters: 76-81 / 81-86 / 86-91 / 91-99 / 104-112 Waist Inches: 22-23 / 23-26 / 26-28 / 28-31 / 32-34 Centimeters: 56-58 / 58-66 / 66-71 / 71-79 / 81-86 Hips Inches: 32-34 / 34-36 / 36-38 / 38-41 / 43-46 Centimeters: 81-86 / 86-91 / 91-97 / 97-104 / 109-117 Girth* Inches: 53-54 / 55-57 / 58-60 / 61-63 / 64-67 Centimeters: 135-137 / 140-145 / 147-152 / 155-160 / 163-170 * The most important measurement is the Girth. Measure the girth from the right shoulder through the crotch and back up to the shoulder loosely. If there is a difference in the ""Girth"" and ""Size"" choices, choose the one dictated by the Girth measurement.",No,037_37_thumb.jpg,037_37.jpg,,No,,,,,,,Yes,No,,,,New,No,,,Dance Apparel,,,16SSFS-04,"A-Sm,A-Lg",Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,$10 Gift Certificate,GIFT-10,Teddy Shoes,,Normal,$10.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,100,,0,0.0,0.0,0.0,0.0,self,Treat friends or family to a great shopping opportunity!,Treat friends or family to a great shopping opportunity!,No,gift-certificate_thumb.jpg,gift-certificate.jpg,,No,,,,,,,Yes,No,,,,New,No,,Gift Certificate,Gift Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,$100 Gift Certificate,GIFT-100,Teddy Shoes,,Normal,$100.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,90,,0,0.0,0.0,0.0,0.0,self,Treat friends or family to a great shopping opportunity!,Treat friends or family to a great shopping opportunity!,No,gift-certificate_thumb.jpg,gift-certificate.jpg,,No,,,,,,,Yes,No,,,,New,No,,Gift Certificate,Gift Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,$25 Gift Certificate,GIFT-25,Teddy Shoes,,Normal,$25.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,100,,0,0.0,0.0,0.0,0.0,self,Treat friends or family to a great shopping opportunity!,Treat friends or family to a great shopping opportunity!,No,gift-certificate_thumb.jpg,gift-certificate.jpg,,No,,,,,,,Yes,No,,,,New,No,,Gift Certificate,Gift Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,$50 Gift Certificate,GIFT-50,Teddy Shoes,,Normal,$50.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,100,,0,0.0,0.0,0.0,0.0,self,Treat friends or family to a great shopping opportunity!,Treat friends or family to a great shopping opportunity!,No,gift-certificate_thumb.jpg,gift-certificate.jpg,,No,,,,,,,Yes,No,,,,New,No,,Gift Certificate,Gift Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Suede Heel Covers -- Black,33VSHC-01,Very Fine,,Normal,$6.00,$0.00,$0.00,Yes,$0.00,,$0.00,No,No,9,,0,0.0,0.0,0.0,0.0,self,INFORMATION: Suede heel covers are important for competitions. Prevents floor from scuffs. Can be applied easily with tape or super glue with suede side on the bottom. Original Very Fine dance product. Made in China.,"INFORMATION: Suede heel covers are important for competitions. Prevents floor from scuffs. Can be applied easily with tape or super glue with suede side on the bottom. Original Very Fine dance product. Made in China. FITTING GUIDE: Fits 2.5"" or 3"" heel.",No,Suede-Heel-Protector_layers-1_thumb.jpg,Suede-Heel-Protector_layers-1.jpg,,No,,,,,,,Yes,No,,,,New,No,,Suede Heel Covers -- Black,Shoe Accessories,,,33VSHC-01,One Size,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Women's Flamenco Skirts -- Red,16SSFS-04,Star Styled,,Normal,$64.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,1,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Nylon lycra, double ruffle design, and elaticized waistband with drawstring. Shown in red; other colors may be available such as black, mocha, purple, royal blue, rust and white. Please call or e-mail for up-to-date product availability. Skirt is paired with a long sleeve flamenco leotard. Ideal for flamenco or latin dancing. Made in U.S.A. Original Star Styled dance product.","INFORMATION: Nylon lycra, double ruffle design, and elaticized waistband with drawstring. Shown in red; other colors may be available such as black, mocha, purple, royal blue, rust and white. Please call or e-mail for up-to-date product availability. Skirt is paired with a long sleeve flamenco leotard. Ideal for flamenco or latin dancing. Made in U.S.A. Original Star Styled dance product. FITTING GUIDE: Same as clothing size. See sizing chart below: Petite / Small / Medium / Large / X-Large Bust Inches: 30-32 / 32-34 / 34-36 / 36-39 / 41-44 Centimeters: 76-81 / 81-86 / 86-91 / 91-99 / 104-112 Waist Inches: 22-23 / 23-26 / 26-28 / 28-31 / 32-34 Centimeters: 56-58 / 58-66 / 66-71 / 71-79 / 81-86 Hips Inches: 32-34 / 34-36 / 36-38 / 38-41 / 43-46 Centimeters: 81-86 / 86-91 / 91-97 / 97-104 / 109-117 Girth* Inches: 53-54 / 55-57 / 58-60 / 61-63 / 64-67 Centimeters: 135-137 / 140-145 / 147-152 / 155-160 / 163-170 * The most important measurement is the Girth. Measure the girth from the right shoulder through the crotch and back up to the shoulder loosely. If there is a difference in the ""Girth"" and ""Size"" choices, choose the one dictated by the Girth measurement.",No,037_37_thumb.jpg,037_37.jpg,,No,,,,,,,Yes,No,,,,New,No,,Women's Flamenco Skirts -- Red,Dance Apparel,,,16SSFS-04,WO/LG,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1 Row Coin Hip Scarf -- Smoke,24EHS-48,Eurotard,,Normal,$50.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,4,,0,0.0,0.0,0.0,0.0,self,INFORMATION: Gold coin hip scarf. Ideal for belly dancing. Original Eurotard dance product. Made in Turkey.,INFORMATION: Gold coin hip scarf. Ideal for belly dancing. Original Eurotard dance product. Made in Turkey. FITTING GUIDE: Fits a regular adult size.,No,SMOKE2520HIP2520SCARF2520EUROTARD_thumb.jpg,SMOKE2520HIP2520SCARF2520EUROTARD.jpg,,No,,,,,,,Yes,No,,,,New,No,,1 Row Coin Hip Scarf -- Smoke,Belly Dancing Supplies,,,24EHS-48,ADULT ONE SIZE,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Women's Lyrical Skirt -- Black,44LLS-01,Leos Dancewear,,Normal,$66.00,$0.00,$0.00,No,$0.00,,$0.00,No,No,4,,0,0.0,0.0,0.0,0.0,self,"INFORMATION: Floor length crepe skirt with elastic waistband. Skirt is paired with a long sleeve shawl collar leotard. Ideal for liturgical dancing, performances, or theatrical productions. Original Leo's dance product.","INFORMATION: Floor length crepe skirt with elastic waistband. Skirt is paired with a long sleeve shawl collar leotard. Ideal for liturgical dancing, performances, or theatrical productions. Original Leo's dance product. FITTING GUIDE: Same as your clothing size -- either regular or plus size.",No,059_59_thumb.jpg,059_59.jpg,,No,,,,,,,Yes,No,,,,New,No,,Women's Lyrical Skirt -- Black,Dance Apparel,,,44LLS-01,ONE SIZE/XXL,Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
