SKU,Quantity,Attribute1Values
33VWB-06,18,
16SSFS-04,2,"A-Sm,A-Lg"
GIFT-10,100,
GIFT-100,90,
GIFT-25,100,
GIFT-50,100,
33VSHC-01,9,One Size
16SSFS-04,1,WO/LG
24EHS-48,4,ADULT ONE SIZE
44LLS-01,4,ONE SIZE/XXL
44LLS-02,4,ONE SIZE/XXL
88CBR14-01,18,"5M,5W,5.5M,5.5W,6W,6.5M,7W,7.5W,8M,8W,8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W"
66B560-01,11,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M"
66B560-01,11,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M"
66B560-01,11,"6M,6.5M,7M,7.5M,8.5M,9M,10.5M,11M,11.5M,12M,12.5M"
,18,"4M,5M,5.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,10.5M,11M,11.5M,12M,12.5M,13M,13.5M,14M"
55P31-01,11,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M"
55P31-01,11,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M"
55P31-01,11,"7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M"
25AHS-07,3,Plus Size
56NT113-01,2,"9M,40M"
11B205-51LS,7,"5M,5.5M,6M,6.5M,7M,7.5M,9M"
46DBRI-01,0,
99AL29-01,9,"5B,5.5B,6.5B,8.5B,9B,9.5B,10B,10.5B,11B"
36TNV-01S,5,"6M,8M,8,5M,9M,9.5M"
36TGIN-44,3,"6M,8.5M,9M"
11VDC1-01,4,"6M,6.5M,7.5M,12M"
34R13-01S,9,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,10M"
34R11-44S,9,"5M,5.5M,6M,6.5M,7M,8M,8.5M,9M,10M"
84ARHEL-01,9,"8M,8.5M,9M,9.5M,10M,10.5M,11M,12M,13M"
85DM261-01,5,"7M,8M,9M,10M,11M"
34R12-44S,12,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
83OLSUN-01,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
84AR405-51S,10,"7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,12M"
85DM2612-01,5,"7M,8M,9M,10M,11M"
34R13-01S,10,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
34R13-80S,10,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
56NT405-01,1,40
83OLJES-01,5,"7.5M,8.5M,9M,10M,11M"
34R12-01S,8,"5M,5.5M,6M,7M,7.5M,8M,8.5M,10M"
34R11-80S,9,"5M,5.5M,6M,6.5M,7M,7.5M,8M,9M,10M"
83OL737-01,6,"5M,6M,7M,8M,9M,10M"
83OL737-01,6,"5M,6M,7M,8M,9M,10M"
83OL738-01,5,"6M,7M,8M,9M,10M"
83OL737-03,5,"6M,7M,8M,9M,10M"
OL8118-01C,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
OL8118-01C,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
83OL8116-08,5,"7M,8M,9M,10M,11M"
OL838113-01,6,"5M,7M,8M,9M,10M,11M"
OL838113-01,6,"5M,7M,8M,9M,10M,11M"
830L8104-01S,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
830L8104-01S,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
83OLUGG-51S,8,"6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
83OLUGG-08S,7,"6.5M,7M,7.5M,8M,8.5M,9M,10M"
83OLUGG-01S,7,"6.5M,7M,7.5M,8M,8.5M,9M,10M"
83OL89852-01,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
OL838116-01,4,"7M,8M,10M,11M"
83OL8638-01,5,"8.5W,9W,10W,11W,12W"
86S1401-44,5,"8W,8.5W,9W,10W,11W"
86S1401-07,9,"6W,6.5W,7W,7.5W,8W,8.5W,9W,10W,11W"
86S1401-02P,3,"8W,10W,11W"
86S1401-03P,11,"6W,6.5W,7W,7.5W,8W,8.5W,9W,10W,11W,12W,13W"
OL83VEN-04,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
OL83VEN-04,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
67SDD70-02,7,"7M,7.5M,8M,8.5M,9M,9.5M,10M"
36TR2294-01,8,"6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
37ANSYL-67,3,"7M,8M,9M"
36TRSEXY-01,0,"7M,7.5M,8M,8.5M,9M,10M,11M"
36TRSEXY-01,0,"7M,7.5M,8M,8.5M,9M,10M,11M"
66B539-67,6,"6M,7M,7.5M,10M,11.5M,13M"
36TRITA-01,6,"6M,6.5M,7M,7.5M,8.5M,9M"
46DYUM-01,1,6M
34R11-01S,9,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,10M"
84ARKRY-01,9,"7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
83OL2899-01C,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
83OL2899-01C,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
62GSA-02,4,"8M,9M,10M,11M"
62GSA-02,4,"8M,9M,10M,11M"
55SCO-01,4,"8M,10M,11M,12M"
OL832899-66C,7,"6.5M,7M,7.5M,8M,8.5M,9M,10M"
OL832899-66C,7,"6.5M,7M,7.5M,8M,8.5M,9M,10M"
33VWB-51,3,
86S1290-01,12,"6W,6.5W,7W,7.5W,8W,8.5W,9W,10W,11W,12W,13W,14W"
86S1160-01P,5,"6M,7M,8M,9M,10M"
86S1160-01P,5,"6M,7M,8M,9M,10M"
86S1194-01,3,"12W,13W,14W"
86S1194-01,3,"12W,13W,14W"
OL838107-01,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
OL838107-01,7,"7M,7.5M,8M,8.5M,9M,10M,11M"
86S1185-01S,3,"12W,13W,14W"
86S1185-01S,3,"12W,13W,14W"
86S1590-01,3,"12W,13W,14W"
86S15918-07,3,"12W,13W,14W"
86S15918-44,3,"12W,13W,14W"
45EF184-08,5,"AD/SM/MED,AD/LG/XL"
45EF1184-01,3,AD/ONE SIZE
45EF1184-08L,2,AD/ONE SIZE
45EF1184-03H,1,AD/ONE SIZE
45EF1149-08L,3,AD/ONE SIZE
45EF1165-67,4,"AD/SM/MED,LG/XL"
45EF1184-06,2,AD/ONE SIZE
45EF1184-02,2,AD/ONE SIZE
45EF1169-08C,6,"AD/SM/MED,LG/XL"
45EF1169-06,6,"AD/SM/MED,LG/XL"
45EF2204-02,6,"AD/SM/MED,LG/XL"
45EF2265-01,6,"AD/SM/MED,LG/XL"
45EF2250-94,3,AD/ONE SIZE
45EFL1153-01,3,WO/ONE SIZE
45EF1153-06,3,WO/ONE SIZE
45EFL1183-92,3,WO/ONE SIZE
45EFL1190-16M,3,WO/ONE SIZE
45EFL1190-08M,3,WO/ONE SIZE
45EFL1190-03M,3,WO/ONE SIZE
45EFL2209-01,3,WO/ONE SIZE
45EFL2209-25,2,WO/ONE SIZE
45EFL2209-02,3,WO/ONE SIZE
45EKF1144-08,2,CH/ONE SIZE
45EKF1144-06,2,CH/ONE SIZE
44L4028-01,21,"5M,5.5M,6M,6W,6.5M,6.5W,7M,7.5W,8.5M,8.5W,9W,9.5M,9.5W,10M,10.5M,10.5W,11W,12W,12.5W,13W,13.5W"
24EFC-07,6,AD/O/S
24EKP-01,5,"AD/XXS,AD/XS,AD/SM,AD/MED,AD/LG"
24EKP-01,5,"AD/XXS,AD/XS,AD/SM,AD/MED,AD/LG"
24EKP-01,5,"AD/XXS,AD/XS,AD/SM,AD/MED,AD/LG"
24EKP-01,5,"AD/XXS,AD/XS,AD/SM,AD/MED,AD/LG"
46DSAN-01,3,"6.5M,7.5M,9M"
33VP30-08,2,"7.5M,9.5M,"
33VP30-08,2,"7.5M,9.5M,"
99AL974-01,14,"4C,5B,5C,5.5B,5.5C,6B,6C,6.5B,8B,9B,10.5B,11C,11.5B,11.5C"
99AL974-01,14,"4C,5B,5C,5.5B,5.5C,6B,6C,6.5B,8B,9B,10.5B,11C,11.5B,11.5C"
67S73-01S,12,"6.5M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M,11.5M,12M"
55ST07-04,11,"6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M"
55ST07-04,11,"6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M"
55ST07-04,11,"6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M"
55ST07-04,11,"6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M"
56NT402-07,1,9M
45EF2250-02,2,AD/ONE SIZE
45EF2250-53,2,AD/ONE SIZE
44LAD-51,7,"3M,3.5M,4M,4.5M,5M,6M,9.5M"
55T02-01,5,"7M,9M,10M,11M,12M"
55T02-01,5,"7M,9M,10M,11M,12M"
55T02-01,5,"7M,9M,10M,11M,12M"
44L30-09P,24,"6M,6W,6.5M,7W,7.5M,7.5W,8M,8W.8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,12.5W,13W,13.5W,14W"
44L30-09P,24,"6M,6W,6.5M,7W,7.5M,7.5W,8M,8W.8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,12.5W,13W,13.5W,14W"
44L30-09P,24,"6M,6W,6.5M,7W,7.5M,7.5W,8M,8W.8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,12.5W,13W,13.5W,14W"
44L30-09P,24,"6M,6W,6.5M,7W,7.5M,7.5W,8M,8W.8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,12.5W,13W,13.5W,14W"
44L30-09P,24,"6M,6W,6.5M,7W,7.5M,7.5W,8M,8W.8.5M,8.5W,9M,9W,9.5M,9.5W,10M,10W,10.5W,11W,11.5W,12W,12.5W,13W,13.5W,14W"
44L105-03,11,"5.5M,6M,7M,7.5M,8M,8.5M,9M,9.5M,10M,10.5M,11M"
55S91-01,6,"12M,13M,14M,15M,16M,17M"
34R13-44S,10,"5M,5.5M,6M,6.5M,7M,7.5M,8M,8.5M,9M,10M"
36TCEL-01C,7,"5.5M,6M,6.5M,7M,8M,8.5M,9M"
66B568-01,3,"7M,9M,14M"
83OL2899-01,5,"8M,8.5M,9M,10M,11M"
83OL2899-01,5,"8M,8.5M,9M,10M,11M"
66B515-03,10,"5.5M,6M,6.5M,7M,7.5M,8.5M,9.5M,10M,10.5M,11M"
99AL29-01,2,"4B,4.5B"
66B500-01,13,"5.5M,6M,6.5M,7M,7.5M,8M,8.5,9M,9.5M,10M,11M,12.5M,13M"
45EF2204-06,3,AD/SM/MED
36TSUE-25,1,8.5M
67S92-01S,7,"5.5M,6M,6.5M,7.5M,8M,8.5M,9.5M"
55SGR-01,5,"5M,6M,7M,8M,9M"
36TCAL-04B,5,"6M,6.5M,7M,8M,9M"
88C07-09,1,5M
88C07-09,1,5M
88C07-09,1,5M
55P40-01,13,"5M,6M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M"
55P40-01,13,"5M,6M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M"
55P40-01,13,"5M,6M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M"
33V923-51S,5,"6.5M,7M,7.5M,8M,8.5M"
33V923-87,5,"6M,6.5M,7M,8M,8.5M"
55SJ23-01,6,"6M,7M,10M,11M,12M,13M"
55SJ23-01,6,"6M,7M,10M,11M,12M,13M"
55SJ23-01,6,"6M,7M,10M,11M,12M,13M"
84ARCOS4-03,3,"7M,7.5M,10.5M"
99AL452-01,13,"2.5B,2.5C,3B,3C,3.5B,3.5C,4B,4C,5B,6.5B,8.5B,10.5B,11C,11.5B"
99AL452-01,13,"2.5B,2.5C,3B,3C,3.5B,3.5C,4B,4C,5B,6.5B,8.5B,10.5B,11C,11.5B"
46DMOC-01,0,
99AL29-51,10,"5B,5.5B,6.5B,7B,7.5B,8B,9B,9.5B,10B,11B"
67S38-07,15,"5.5W,6W,6.5W,7W,8.5W,9W,9.5W,10W,10.5W,11W,11.5W,12W,12.5W,13W"
11B311-08,6,"8W,8.5W,9W,9.5W,10W,10.5W"
45EF210-01,4,"AD/SM/MED,AD/L/XL"
45EF184-66,2,"AD/SM/MED,AD/L/XL"
8615918-01,2,"12W,13W"
86S1591-01,3,"12W,13W,14W"
85DM2672-01,4,"9M,10M,11M,12M"
45EHE04-01,2,MEN/LG/XL
99AL102-51S,6,"6B,7B,8B,8.5B,10B,10.5B"
34R12-80S,8,"5M,6M,6.5M,7M,7.5M,8M,9M,10M"
44L005-03S,15,"6C,6,5C,7C,7E,7.5C,7.5D,7.5E,8C,8.5D,8.5E,9C,9D,9E,10C,10E"
11B603-51S,10,"11M,12M,13M,1M,1.5M,2M,2.5M,3M,3.5M,4M"
11B603-51S,10,"11M,12M,13M,1M,1.5M,2M,2.5M,3M,3.5M,4M"
19SLSS-79,1,WO/MED
19SLSS-17,1,AD/SM
19SLS-04S,0,WO/LG
19SLSS-07,1,WO/SM
66B560-01,9,"6M,6.5M,7M,7.5M,8.5M,10.5M,11M,,12M,12.5M"
66B560-01,9,"6M,6.5M,7M,7.5M,8.5M,10.5M,11M,,12M,12.5M"
66B560-01,9,"6M,6.5M,7M,7.5M,8.5M,10.5M,11M,,12M,12.5M"
